Title,Author,Goodreads Rating
The Stand In,Kate Clemens,4.34
Resolutions,Maxine Barry,4.13
Drop Dead Gorgeous,Linda Howard,3.9
The Perfect Stranger,Barbara Ankrum,3.54
Just Like A Man,Elizabeth Bevarly,3.37
The Duke,Catherine Coulter,4.1
Prelude to Freedom,Elizabeth Renier,4
Dead Aim,Iris Johansen,4.03
Memories of Another Day,Harold Robbins,3.67
A Rogue in Texas,Lorraine Heath,3.86
Lovestruck,Stephanie Bond,3.77
To Die For,Linda Howard,4.33
A Fine Passion,Stephanie Laurens,4.06
Valley of Silence,Nora Roberts,4.22
The Stanislaski Brothers - Mikhail and Alex,Nora Roberts,4.06
Tears of the Moon,Nora Roberts,4.19
Jewels of the Sun,Nora Roberts,4.22
Stars,Nora Roberts,4.24
Key of Knowledge,Nora Roberts,4.11
Face the Fire,Nora Roberts,4.15
Skin Deep,Nora Roberts,3.99
Morrigan's Cross,Nora Roberts,4.14
Red Lily,Nora Roberts,4.07
Blue Dahlia,Nora Roberts,4.12
Blood Brothers,Nora Roberts,4.16
The Hollow,Nora Roberts,3.75
Northern Lights,Nora Roberts,3.99
Homeport,Nora Roberts,3.87
Black Rose,Nora Roberts,4.05
The MacGregor Brides,Nora Roberts,4.08
Sea Swept,Nora Roberts,4.24
Blue Dahlia,Nora Roberts,4.12
Dance of the Gods,Nora Roberts,4.14
Heaven and Earth,Nora Roberts,4.14
The Stanislaski Sisters - Natasha and Rachel,Nora Roberts,4.05
The MacGregor Grooms,Nora Roberts,4.1
Key of Light,Nora Roberts,4.17
Dangerous,Nora Roberts,3.82
Divine Evil,Nora Roberts,3.84
Key of Valor,Nora Roberts,4.11
Toxic Bachelors,Danielle Steel,3.67
Once in a Lifetime,Danielle Steel,3.89
Going Home,Danielle Steel,3.69
The Ghost,Danielle Steel,4.22
Alone in Paris,Barbara Cartland,3.46
Who Can Dany Love,Barbara Cartland,3.23
The Disgraceful Duke,Barbara Cartland,3.52
Magic or Mirage,Barbara Cartland,3.45
Wait till Your Vampire Gets Home,Michele Bardsley,4.14
Because Your Vampire Said So,Michele Bardsley,4.08
Don't Talk Back to Your Vampire,Michele Bardsley,4.09
"I'm the Vampire, That's Why",Michele Bardsley,3.87
Come Hell or High Water,Michele Bardsley,4.13
Cross Your Heart,Michele Bardsley,4.23
The Problems of Love,Barbara Cartland,3.73
The Sinful Nights of a Nobleman,Jillian Hunter,3.96
The Wicked Games of a Gentleman,Jillian Hunter,3.99
Twin of Ice,Jude Deveraux,3.96
Into the Night,Suzanne Brockmann,4.32
The Sherbrooke Twins,Catherine Coulter,3.88
Sarkhan,William J. Lederer and Eugene Burdick,3.75
Indiscreet,Kasey Michaels,3.63
Me and Mr Darcy,Alexandra Potter,3.22
The Ideal Wife,Mary Balogh,4.26
The Prey,Allison Brennan,3.74
Hot Ice,Nora Roberts,3.69
The Girl who Kicked the Hornets' Nest,Stieg Larsson,4.22
The Private Eye,Jayne Ann Krentz,4.2
Killjoy,Julie Garwood,4.01
The Target,Catherine Coulter,4.07
Courting Trouble,Lisa Scottoline,3.69
Touch Me With Fire,Jeanne Montague,3.76
Into the Storm,Suzanne Brockmann,4.18
Terminal,Robin Cook,3.36
One Knight Only,Julia Latham,4
Stinger,John Nichol,4.16
The Hunters,Alan Stratton,3.7
Silke,Lacey Dancer,3.41
Out of Control,Candace Schuler,4.29
The Carpetbaggers,Harold Robbins,3.93
Lone Wolf's Lady,Beverly Barton,3.55
Hijacked Heart,Sally Cook,2.75
Betrayal,Karin Alvtegen,4.08
Where Love Has Gone,Harold Robbins,3.64
Zero,Eric Lustbader,3.76
Whisper of Evil,Kay Hooper,4.23
Once a Thief,Kay Hooper,4.02
The Malaspiga Exit,Evelyn Anthony,3.45
A Move in the Game,Kathleen Conlon,3.92
I Thee Wed,Amanda Quick,3.84
Undead and Unwed,Mary Janice Davidson,3.82
Into the Storm,Suzanne Brockmann,4.18
My Man Pendleton,Elizabeth Bevarly,3.4
Good Thinking,Ram Mahtani,3.7
2 States,Chetan Bhagat,3.42
The ABC's of 1-2-3,Judd Robbins,3.84
What's Your Pleasure,Julie Elizabeth Leto,3.5
Sinful Truths,Anne Mather,2.82
The Clayborne Brides,Julie Garwood,3.86
Stronger Than Yearning,Penny Jordan,3.03
Passion & Poppadoms,Nisha Minhas,3.89
Devil in Winter,Lisa Kleypas,4.25
Autumn Fries,Ruby M. Ayres,0
Under the Boardwalk,Carly Phillips,3.78
The Conqueror,Georgette Heyer,3.89
Jackie Merritt,Tennessee Waltz,3.22
Pressure Points,Larry Brooks,3.45
Rules of Engagement,Christina Dodd,3.84
Desire,Amanda Quick,3.98
East of Desolation,Jack Higgins,3.54
The Eleventh Commandment,Jeffrey Archer,3.87
Sons of Fortune,Jeffrey Archer,3.85
The Sins of the Father,Jeffrey Archer,4.05
To cut a Long Story Short,Jeffrey Archer,3.74
False Impression,Jeffrey Archer,3.72
Dumb Witness,Agatha Christie,3.83
Halloween Party,Agatha Christie,3.75
Double Sin and other Stories,Agatha Christie,3.82
They Came to Baghdad,Agatha Christie,3.79
They Came to Baghdad,Agatha Christie,3.79
Murder on the Links,Agatha Christie,3.82
Mrs. McGinty's Dead,Agatha Christie,3.83
The Regatta Mystery,Agatha Christie,3.96
The Winner,David Baldacci,4.01
Wish you well,David Baldacci,3.96
Zero Day,David Baldacci,4
Hour game,David Baldacci,3.96
Split Second,David Baldacci,3.93
Last Man Standing,David Baldacci,4.05
The Chamber,John Grisham,4.41
The Chamber,John Grisham,4.41
The Confession,John Grisham,3.63
The Street Lawyer,John Grisham,3.83
The Litigators,John Grisham,3.79
Susanne's Diary for Nicholas,James Patterson,4.16
The Aquitaine Progression,Robert Ludlum,3.93
The Altman Code,Robert Ludlum,3.94
The Janson Directive,Robert Ludlum,3.86
The Matarese Circle,Robert Ludlum,4.04
The Bourne Ultimatum,Robert Ludlum,4.05
Digital Fortress,Dan Brown,3.63
City of Bones,Michael Connelly,4.11
Blood Work,Michael Connelly,4.12
A Darkness More Than Night,Michael Connelly,4.14
Fall of Giants,Ken Follet,4.28
Detective,Arthur Hailey,3.77
The Afghan,Frederick Forsyth,3.67
The Afghan,Frederick Forsyth,3.67
Murder She Wrote,James Anderson,3.84
You Belong to Me,Mary Huggins Clark,3.86
Don't Cry,Beverly Barton,4.09
Kat Scratch Fever,Karen Kijewski,3.98
Grand Jury,Philip Friedman,3.34
Scarlett,Alexandra Ripley,3.45
Where you Belong,Barbara Taylor Bradford,3.44
Harry Potter and the Order of Phoenix,J. K. Rowling,4.48
Harry Potter and the Deathly Hallows,J. K. Rowling,4.63
The Horse Whisperer,Nicholas Evans,3.8
The Story of My Experiements with Truth,M. K Gandhi retold my Nandini Nayar,4.07
The 3 mistakes of my Life,Chetan Bhagat,2.99
The Argumentative Indian,Amartya Sen,3.8
Islam,Alfred Guillaume,3.86
